,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Cruce,Dirección Normalizada,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
51,2016-0074,1,2016-06-12,2016,6,12,06:40:00,6,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.","SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,AUTO-AUTO,AUTO,AUTO
52,2016-0075,1,2016-06-12,2016,6,12,23:13:00,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,PEATON-AUTO,PEATON,AUTO
53,2016-0076,1,2016-06-13,2016,6,13,16:20:00,16,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,CAMARONES,SAN MARTIN AV. y CAMARONES,15,PEATON-PASAJEROS,PEATON,PASAJEROS
54,2016-0077,1,2016-06-13,2016,6,13,21:52:00,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","ALEM, LEANDRO N. AV.","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,PEATON-PASAJEROS,PEATON,PASAJEROS
55,2016-0078,1,2016-06-13,2016,6,13,23:01:00,23,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,JUJUY AV.,BELGRANO AV. y JUJUY AV.,3,MOTO-MOTO,MOTO,MOTO
56,2016-0079,1,2016-06-16,2016,6,16,17:13:00,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,"UDAONDO, GUILLERMO AV.","DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,AUTO-AUTO,AUTO,AUTO
57,2016-0080,1,2016-06-18,2016,6,18,06:42:00,6,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,"PAZ, GRAL. AV.",RIVADAVIA AV.,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,AUTO-SD,AUTO,SD
58,2016-0081,1,2016-06-22,2016,6,22,07:42:00,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.",MACHAIN,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,MOTO-AUTO,MOTO,AUTO
59,2016-0082,1,2016-06-27,2016,6,27,18:24:00,18,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,Sin Cruce,LA PLATA AV. 2384,4,PEATON-AUTO,PEATON,AUTO
60,2016-0083,1,2016-06-28,2016,6,28,20:46:00,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",PUAN,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,PEATON-MOTO,PEATON,MOTO
61,2016-0084,1,2016-06-29,2016,6,29,22:00:00,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,"PELLEGRINI, CARLOS",TUCUMAN,"PELLEGRINI, CARLOS y TUCUMAN",1,PEATON-PASAJEROS,PEATON,PASAJEROS
62,2016-0085,1,2016-06-29,2016,6,29,22:00:00,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",EREZCANO,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,MOTO-MOVIL,MOTO,OTRO
63,2016-0086,1,2016-06-30,2016,6,30,16:10:00,16,AV OLIVERA Y RAMON FALCON,AVENIDA,OLIVERA AV.,"FALCON, RAMON L.,CNEL.","OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,PEATON-PASAJEROS,PEATON,PASAJEROS
64,2016-0087,1,2016-07-02,2016,7,3,00:10:00,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Sin Cruce,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
65,2016-0088,1,2016-07-11,2016,7,11,15:30:00,15,CERETTI Y NUÑEZ,CALLE,CERETTI,NU?EZ,CERETTI y NUÃ‘EZ,12,PEATON-AUTO,PEATON,AUTO
66,2016-0089,1,2016-07-14,2016,7,14,06:40:00,6,AV LUGONES Y LA PAMPA,AUTOPISTA,"LUGONES, LEOPOLDO AV.",LA PAMPA,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,PEATON-AUTO,PEATON,AUTO
67,2016-0090,1,2016-07-14,2016,7,14,22:00:00,22,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,"SALGUERO, JERONIMO",RIVADAVIA AV.,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,PEATON-PASAJEROS,PEATON,PASAJEROS
68,2016-0092,1,2016-07-15,2016,7,15,11:00:00,11,AV GRAL PAZ Y AV LIBERTADOR ,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,MOTO-CARGAS,MOTO,CARGAS
69,2016-0093,1,2016-07-17,2016,7,17,03:30:00,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","MITRE, EMILIO","ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,AUTO-AUTO,AUTO,AUTO
70,2016-0095,1,2016-07-23,2016,7,23,06:12:00,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,MERCEDES,MOSCONI GENERAL AV.,MERCEDES y MOSCONI GENERAL AV.,11,MOTO-AUTO,MOTO,AUTO
71,2016-0096,1,2016-07-25,2016,7,25,07:00:00,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Sin Cruce,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,MOTO-CARGAS,MOTO,CARGAS
72,2016-0097,1,2016-07-26,2016,7,26,18:45:00,18,SOLIS Y MEXICO,CALLE,SOLIS,MEXICO,SOLIS y MEXICO,1,PEATON-AUTO,PEATON,AUTO
