,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Cruce,Dirección Normalizada,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
277,2018-0003,1,2018-01-05,2018,1,5,10:12:00,10,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,"PUEYRREDON, HONORIO, DR. AV.",GALICIA,"PUEYRREDON, HONORIO, DR. AV. y GALICIA",15,MULTIPLE,PEATON,MULTIPLE
278,2018-0004,1,2018-01-09,2018,1,9,09:40:00,9,Del Libertador Av. y Manzanares,AVENIDA,DEL LIBERTADOR AV.,MANZANARES,DEL LIBERTADOR AV. y MANZANARES,13,MULTIPLE,MOTO,MULTIPLE
279,2018-0005,1,2018-01-09,2018,1,9,22:30:00,22,Paseo Colon Av. 1019,AVENIDA,PASEO COLON AV.,Sin Cruce,PASEO COLON AV. 1019,1,PEATON-PASAJEROS,PEATON,PASAJEROS
280,2018-0006,1,2018-01-10,2018,1,10,21:15:00,21,Valle y Barco Centenera Del,CALLE,VALLE,BARCO CENTENERA DEL,VALLE y BARCO CENTENERA DEL,6,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
281,2018-0007,1,2018-01-11,2018,1,11,02:30:00,2,AU Perito Moreno  KM 0.6,AUTOPISTA,AUTOPISTA PERITO MORENO,Sin Cruce,AUTOPISTA PERITO MORENO KM. 0.6,9,AUTO-AUTO,AUTO,AUTO
282,2018-0008,1,2018-01-12,2018,1,12,17:50:00,17,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,"HUERGO, ING. AV.",INDEPENDENCIA AV.,"HUERGO, ING. AV. e INDEPENDENCIA AV.",1,MOTO-CARGAS,MOTO,CARGAS
283,2018-0009,1,2018-01-14,2018,1,14,02:00:00,2,"Pilcomayo y Brown, Alte. Av.",AVENIDA,PILCOMAYO,"BROWN, ALTE. AV.","PILCOMAYO y BROWN, ALTE. AV.",4,MOTO-MOTO,MOTO,MOTO
284,2018-0010,1,2018-01-18,2018,1,18,05:10:00,5,"Cervantes y Belaustegui, Luis, Dr.",CALLE,CERVANTES,"BELAUSTEGUI, LUIS, DR.","CERVANTES y BELAUSTEGUI, LUIS, DR.",10,MOTO-CARGAS,MOTO,CARGAS
285,2018-0011,1,2018-01-19,2018,1,19,10:30:00,10,Callao y Vte. Lopez,AVENIDA,CALLAO AV.,"LOPEZ, VICENTE","CALLAO AV. y LOPEZ, VICENTE",2,PEATON-PASAJEROS,PEATON,PASAJEROS
286,2018-0012,1,2018-01-26,2018,1,26,13:30:00,13,"Oliden y Chilavert, Martiniano, Coronel",CALLE,OLIDEN,"CHILAVERT, MARTINIANO, CORONEL","OLIDEN y CHILAVERT, MARTINIANO, CORONEL",8,MOTO-PASAJEROS,MOTO,PASAJEROS
287,2018-0013,1,2018-01-28,2018,1,28,08:15:00,8,Congreso Av. y Galvan,AVENIDA,CONGRESO AV.,GALVAN,CONGRESO AV. y GALVAN,12,MOTO-AUTO,MOTO,AUTO
288,2018-0014,1,2018-01-31,2018,1,31,20:00:00,20,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,"MORENO, PERITO AV.",RIVERA INDARTE AV.,"MORENO, PERITO AV. y RIVERA INDARTE AV.",7,PEATON-MOTO,PEATON,MOTO
289,2018-0015,2,2018-02-06,2018,2,6,01:00:00,1,Australia Av. 2800,AVENIDA,AUSTRALIA AV.,Sin Cruce,AUSTRALIA AV. 2800,4,MOTO-PASAJEROS,MOTO,PASAJEROS
290,2018-0016,1,2018-02-15,2018,2,15,10:15:00,10,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,DEL LIBERTADOR AV.,"RAMOS MEJIA, JOSE MARIA, DR. AV.","DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,MOTO-CARGAS,MOTO,CARGAS
291,2018-0017,1,2018-02-17,2018,2,17,04:15:00,4,San Pedrito Av. y Rivadavia Av.,AVENIDA,SAN PEDRITO AV.,RIVADAVIA AV.,SAN PEDRITO AV. y RIVADAVIA AV.,7,PEATON-AUTO,PEATON,AUTO
292,2018-0018,1,2018-02-17,2018,2,17,07:15:00,7,"Isabel La Catolica y Salvadores, Cnel.",CALLE,ISABEL LA CATOLICA,"SALVADORES, CNEL.","ISABEL LA CATOLICA y SALVADORES, CNEL.",4,MOTO-CARGAS,MOTO,CARGAS
293,2018-0019,1,2018-02-17,2018,2,17,12:30:00,12,Las Heras General Av. y Callao Av.,AVENIDA,LAS HERAS GENERAL AV.,CALLAO AV.,LAS HERAS GENERAL AV. y CALLAO AV.,2,PEATON-PASAJEROS,PEATON,PASAJEROS
294,2018-0020,1,2018-02-19,2018,2,19,22:00:00,22,Fernandez de la Cruz Subida AU Héctor J. Cámpora,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,Sin Cruce,"FERNANDEZ DE LA CRUZ F., GRAL. AV. y AUTOPISTA PRESIDENTE HECTOR J. CAMPORA",8,MOTO-CARGAS,MOTO,CARGAS
295,2018-0021,1,2018-02-22,2018,2,22,10:45:00,10,AMANCIO ALCORTA Y ZAVALETA,AVENIDA,"ALCORTA, AMANCIO AV.",ZAVALETA,"ALCORTA, AMANCIO AV. y ZAVALETA",4,PEATON-PASAJEROS,PEATON,PASAJEROS
296,2018-0022,1,2018-02-24,2018,2,24,00:00:00,0,"Montes De Oca, Manuel y Olavarria",AVENIDA,"MONTES DE OCA, MANUEL AV.",OLAVARRIA,"MONTES DE OCA, MANUEL AV. y OLAVARRIA",4,MOTO-CARGAS,MOTO,CARGAS
297,2018-0023,1,2018-02-24,2018,2,24,06:00:00,6,Barco Centenera Del y Rosario,CALLE,BARCO CENTENERA DEL,ROSARIO,BARCO CENTENERA DEL y ROSARIO,6,MOTO-AUTO,MOTO,AUTO
298,2018-0024,1,2018-02-28,2018,2,28,23:00:00,23,Alvarez Thomas Av. y Donado,AVENIDA,ALVAREZ THOMAS AV.,DONADO,ALVAREZ THOMAS AV. y DONADO,15,PEATON-CARGAS,PEATON,CARGAS
299,2018-0025,1,2018-03-04,2018,3,4,22:30:00,22,Av. Avellaneda y Av. Boyacá,AVENIDA,AVELLANEDA AV.,BOYACA AV.,AVELLANEDA AV. y BOYACA AV.,7,PEATON-AUTO,PEATON,AUTO
300,2018-0026,2,2018-03-09,2018,3,9,04:45:00,4,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SAENZ AV.,"RABANAL, FRANCISCO, INTENDENTE AV. y SAENZ AV.",4,MOVIL-CARGAS,MOVIL,CARGAS
301,2018-0027,1,2018-03-11,2018,3,11,23:00:00,23,Castro y Rondeau,CALLE,CASTRO,RONDEAU,CASTRO y RONDEAU,5,PEATON-MOTO,PEATON,MOTO
302,2018-0028,1,2018-03-13,2018,3,13,15:45:00,15,"Bilbao, Francisco Av. y Azul",AVENIDA,"BILBAO, FRANCISCO AV.",AZUL,"BILBAO, FRANCISCO AV. y AZUL",9,PEATON-CARGAS,PEATON,CARGAS
303,2018-0029,1,2018-03-15,2018,3,15,18:00:00,18,Nazca Av. y Gaona Av.,AVENIDA,NAZCA AV.,GAONA AV.,NAZCA AV. y GAONA AV.,11,MOTO-AUTO,MOTO,AUTO
304,2018-0030,1,2018-03-20,2018,3,20,01:30:00,1,Plaza y Alvarez Thomas Av.,AVENIDA,PLAZA,ALVAREZ THOMAS AV.,PLAZA y ALVAREZ THOMAS AV.,15,MOTO-MOTO,MOTO,MOTO
305,2018-0031,1,2018-03-28,2018,3,28,10:15:00,10,"Gaona Av. y Artigas, Jose Gervasio, Gral.",AVENIDA,GAONA AV.,"ARTIGAS, JOSE GERVASIO, GRAL.","GAONA AV. y ARTIGAS, JOSE GERVASIO, GRAL.",11,MOTO-CARGAS,MOTO,CARGAS
306,2018-0032,1,2018-04-02,2018,4,2,13:00:00,13,Cabildo Av. y Aguilar,AVENIDA,CABILDO AV.,AGUILAR,CABILDO AV. y AGUILAR,13,PEATON-PASAJEROS,PEATON,PASAJEROS
307,2018-0033,1,2018-04-07,2018,4,7,07:30:00,7,Camarones y Lope De Vega Av.,AVENIDA,CAMARONES,LOPE DE VEGA AV.,CAMARONES y LOPE DE VEGA AV.,10,MOTO-CARGAS,MOTO,CARGAS
308,2018-0034,1,2018-04-11,2018,4,11,18:15:00,18,Santa Fe Av. 2320,AVENIDA,SANTA FE AV.,Sin Cruce,SANTA FE AV. 2320,2,PEATON-PASAJEROS,PEATON,PASAJEROS
309,2018-0035,1,2018-04-12,2018,4,12,16:45:00,16,Av. Rivadavia 6950,AVENIDA,RIVADAVIA AV.,Sin Cruce,RIVADAVIA AV. 6950,7,PEATON-PASAJEROS,PEATON,PASAJEROS
310,2018-0036,1,2018-04-13,2018,4,13,23:15:00,23,Av. San Martín y Argerich,AVENIDA,SAN MARTIN AV.,ARGERICH,SAN MARTIN AV. y ARGERICH,15,MOTO-AUTO,MOTO,AUTO
311,2018-0037,1,2018-04-18,2018,4,18,18:45:00,18,"Cordoba Av. y Uriburu Jose E., Pres.",AVENIDA,CORDOBA AV.,"URIBURU JOSE E., PRES.","CORDOBA AV. y URIBURU JOSE E., PRES.",2,PEATON-CARGAS,PEATON,CARGAS
312,2018-0038,2,2018-04-20,2018,4,20,17:10:00,17,AV. RIVADAVIA 1571,AVENIDA,RIVADAVIA AV.,Sin Cruce,RIVADAVIA AV. 1571,1,PEATON-AUTO,PEATON,AUTO
313,2018-0039,1,2018-04-21,2018,4,21,22:15:00,22,AUTOPISTA LUGONES KM 4.7,AUTOPISTA,"LUGONES, LEOPOLDO AV.",Sin Cruce,AUTOPISTA LUGONES KM 4.7,14,PEATON-AUTO,PEATON,AUTO
314,2018-0040,1,2018-04-27,2018,4,27,11:00:00,11,Ramon Freire y Virrey Olaguer y Feliu,CALLE,"FREIRE, RAMON, CAP. GRAL.","OLAGUER Y FELIU, VIRREY","FREIRE, RAMON, CAP. GRAL. y OLAGUER Y FELIU, VIRREY",13,PEATON-CARGAS,PEATON,CARGAS
315,2018-0041,1,2018-04-27,2018,4,27,13:30:00,13,"La Plata Av. y Fernandez De La Cruz, F., Gral. Av.",AVENIDA,LA PLATA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","LA PLATA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",4,PEATON-PASAJEROS,PEATON,PASAJEROS
316,2018-0042,1,2018-04-27,2018,4,27,18:43:00,18,BRANDSEN y PERDRIEL,CALLE,BRANDSEN,PERDRIEL,BRANDSEN y PERDRIEL,4,MOTO-CARGAS,MOTO,CARGAS
317,2018-0043,1,2018-04-28,2018,4,28,06:30:00,6,"Vilardebo, Teodoro y Alvarez Jonte Av.",AVENIDA,"VILARDEBO, TEODORO",ALVAREZ JONTE AV.,"VILARDEBO, TEODORO y ALVAREZ JONTE AV.",11,MOTO-AUTO,MOTO,AUTO
318,2018-0044,1,2018-04-28,2018,4,28,09:00:00,9,Alberti e Independencia Av.,AVENIDA,ALBERTI,INDEPENDENCIA AV.,ALBERTI e INDEPENDENCIA AV.,3,PEATON-AUTO,PEATON,AUTO
319,2018-0045,1,2018-04-30,2018,4,30,07:00:00,7,Alvarez Thomas Av. 879,AVENIDA,ALVAREZ THOMAS AV.,Sin Cruce,ALVAREZ THOMAS AV. 879,13,AUTO-CARGAS,AUTO,CARGAS
320,2018-0046,1,2018-05-02,2018,5,2,03:15:00,3,Av. Gral. Paz y Av. Rivadavia,GRAL PAZ,"PAZ, GRAL. AV.",RIVADAVIA AV.,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,PEATON-AUTO,PEATON,AUTO
321,2018-0047,1,2018-05-08,2018,5,8,19:00:00,19,Av. Corrientes y Av. Dorrego,AVENIDA,CORRIENTES AV.,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,15,PEATON-PASAJEROS,PEATON,PASAJEROS
322,2018-0048,1,2018-05-09,2018,5,9,10:30:00,10,Rivadavia Av. y Pedernera,AVENIDA,RIVADAVIA AV.,PEDERNERA,RIVADAVIA AV. y PEDERNERA,7,PEATON-PASAJEROS,PEATON,PASAJEROS
323,2018-0049,1,2018-05-11,2018,5,11,19:15:00,19,Quesada 2300,CALLE,QUESADA,Sin Cruce,QUESADA 2300,13,PEATON-AUTO,PEATON,AUTO
324,2018-0050,1,2018-05-14,2018,5,14,18:45:00,18,Cabildo Av. y Juramento Av.,AVENIDA,CABILDO AV.,JURAMENTO AV.,CABILDO AV. y JURAMENTO AV.,13,PEATON-PASAJEROS,PEATON,PASAJEROS
325,2018-0051,1,2018-05-15,2018,5,15,21:15:00,21,"California y Carbonari, Francisco, Cmte.",CALLE,CALIFORNIA,"CARBONARI, FRANCISCO, CMTE.","CALIFORNIA y CARBONARI, FRANCISCO, CMTE.",4,PEATON-AUTO,PEATON,AUTO
326,2018-0052,1,2018-05-18,2018,5,18,20:30:00,20,"Carril, Salvador Maria Del Av. y Nazca",AVENIDA,"CARRIL, SALVADOR MARIA DEL AV.",NAZCA,"CARRIL, SALVADOR MARIA DEL AV. y NAZCA",15,PEATON-PASAJEROS,PEATON,PASAJEROS
327,2018-0053,1,2018-05-20,2018,5,20,02:30:00,2,San Luis y Aguero,CALLE,SAN LUIS,AGUERO,SAN LUIS y AGUERO,3,MOTO-AUTO,MOTO,AUTO
328,2018-0054,1,2018-05-22,2018,5,22,11:15:00,11,Lugones 2430,CALLE,LUGONES,Sin Cruce,LUGONES 2430,12,PEATON-BICICLETA,PEATON,BICICLETA
329,2018-0055,1,2018-05-29,2018,5,29,07:30:00,7,Independencia Av. y Jujuy Av.,AVENIDA,INDEPENDENCIA AV.,JUJUY AV.,INDEPENDENCIA AV. y JUJUY AV.,3,MOTO-AUTO,MOTO,AUTO
330,2018-0056,1,2018-06-02,2018,6,2,13:00:00,13,Av. Rivadavia 11050,AVENIDA,RIVADAVIA AV.,Sin Cruce,RIVADAVIA AV. 11050,9,PEATON-PASAJEROS,PEATON,PASAJEROS
331,2018-0057,1,2018-06-03,2018,6,3,03:30:00,3,Combate De Los Pozos y Humberto 1°,CALLE,COMBATE DE LOS POZOS,HUMBERTO 1?,COMBATE DE LOS POZOS y HUMBERTO 1Â°,3,MOTO-PASAJEROS,MOTO,PASAJEROS
332,2018-0058,1,2018-06-03,2018,6,3,06:30:00,6,Cordoba Av. y Thames,AVENIDA,CORDOBA AV.,THAMES,CORDOBA AV. y THAMES,15,MOTO-AUTO,MOTO,AUTO
333,2018-0059,1,2018-06-08,2018,6,8,06:20:00,6,"Garay, Juan De Av. y Sanchez De Loria",AVENIDA,"GARAY, JUAN DE AV.",SANCHEZ DE LORIA,"GARAY, JUAN DE AV. y SANCHEZ DE LORIA",5,MOTO-MOVIL,MOTO,OTRO
334,2018-0060,1,2018-06-08,2018,6,8,12:50:00,12,"Lavalle y Alem, Leandro N. Av.",AVENIDA,LAVALLE,"ALEM, LEANDRO N. AV.","LAVALLE y ALEM, LEANDRO N. AV.",1,PEATON-PASAJEROS,PEATON,PASAJEROS
335,2018-0061,1,2018-06-10,2018,6,10,11:15:00,11,Estados Unidos y Pichincha,CALLE,ESTADOS UNIDOS,PICHINCHA,ESTADOS UNIDOS y PICHINCHA,3,MOTO-MOTO,MOTO,MOTO
336,2018-0062,1,2018-06-14,2018,6,14,01:00:00,1,Rosario y Barco Centenera Del,CALLE,ROSARIO,BARCO CENTENERA DEL,ROSARIO y BARCO CENTENERA DEL,6,PEATON-CARGAS,PEATON,CARGAS
337,2018-0063,1,2018-06-16,2018,6,16,21:15:00,21,Av. Leandro N. Alem y Viamonte,AVENIDA,"ALEM, LEANDRO N. AV.",VIAMONTE,"ALEM, LEANDRO N. AV. y VIAMONTE",1,PEATON-PASAJEROS,PEATON,PASAJEROS
338,2018-0064,1,2018-06-25,2018,6,25,01:15:00,1,Varela Av. y Primera Junta,AVENIDA,VARELA AV.,PRIMERA JUNTA,VARELA AV. y PRIMERA JUNTA,7,AUTO-CARGAS,AUTO,CARGAS
339,2018-0065,1,2018-06-26,2018,6,26,17:30:00,17,"Pellegrini, Carlos y Juncal",CALLE,"PELLEGRINI, CARLOS",JUNCAL,"PELLEGRINI, CARLOS y JUNCAL",1,MOTO-CARGAS,MOTO,CARGAS
340,2018-0066,1,2018-06-28,2018,6,28,11:00:00,11,Av. Corrientes y Av. Federico Lacroze,AVENIDA,CORRIENTES AV.,"LACROZE, FEDERICO AV.","CORRIENTES AV. y LACROZE, FEDERICO AV.",15,PEATON-PASAJEROS,PEATON,PASAJEROS
341,2018-0067,1,2018-06-29,2018,6,29,16:15:00,16,"Montes De Oca, Manuel y Finochietto Enrique Dr.",AVENIDA,"MONTES DE OCA, MANUEL AV.",FINOCHIETTO ENRIQUE DR.,"MONTES DE OCA, MANUEL AV. y FINOCHIETTO ENRIQUE DR.",4,PASAJEROS-AUTO,PASAJEROS,AUTO
342,2018-0068,1,2018-07-01,2018,7,1,09:00:00,9,"Carabobo Av. y Alberdi, Juan Bautista Av.",AVENIDA,CARABOBO AV.,"ALBERDI, JUAN BAUTISTA AV.","CARABOBO AV. y ALBERDI, JUAN BAUTISTA AV.",7,MOTO-AUTO,MOTO,AUTO
343,2018-0069,1,2018-07-04,2018,7,4,21:45:00,21,"Córdoba Av. 2215

",AVENIDA,CORDOBA AV.,Sin Cruce,CORDOBA AV. 2215,2,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
344,2018-0070,1,2018-07-07,2018,7,7,15:45:00,15,"Estados Unidos y Urquiza, Gral.",CALLE,ESTADOS UNIDOS,"URQUIZA, GRAL.","ESTADOS UNIDOS y URQUIZA, GRAL.",3,MOTO-PASAJEROS,MOTO,PASAJEROS
345,2018-0071,1,2018-07-10,2018,7,10,17:50:00,17,Moreno y Av. Huergo,AVENIDA,MORENO,"HUERGO, ING. AV.","MORENO y HUERGO, ING. AV.",1,MOTO-CARGAS,MOTO,CARGAS
346,2018-0072,1,2018-07-11,2018,7,11,13:15:00,13,"AU Dellepiane kilometro 0.0, altura calle Montiel, sentido hacia el Centro Porteño",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Sin Cruce,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MONTIEL,8,MOTO-CARGAS,MOTO,CARGAS
347,2018-0073,1,2018-07-11,2018,7,11,15:45:00,15,"Iriarte, Gral. Av. 3400",AVENIDA,"IRIARTE, GRAL. AV.",Sin Cruce,"IRIARTE, GRAL. AV. 3400",4,PEATON-CARGAS,PEATON,CARGAS
348,2018-0074,1,2018-07-14,2018,7,14,06:04:00,6,AV. JUAN B. ALBERDI 2968,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Sin Cruce,"ALBERDI, JUAN BAUTISTA AV. 2968",7,AUTO-CARGAS,AUTO,CARGAS
349,2018-0075,1,2018-07-15,2018,7,15,07:30:00,7,Del Libertador Av. y Ortiz De Ocampo,AVENIDA,DEL LIBERTADOR AV.,ORTIZ DE OCAMPO,DEL LIBERTADOR AV. y ORTIZ DE OCAMPO,14,PEATON-AUTO,PEATON,AUTO
350,2018-0076,1,2018-07-16,2018,7,16,09:30:00,9,"Chavez, Jorge y Paz, Gral. Av.",CALLE,"CHAVEZ, JORGE","PAZ, GRAL. AV.","CHAVEZ, JORGE y PAZ, GRAL. AV.",9,AUTO-CARGAS,AUTO,CARGAS
351,2018-0077,1,2018-07-16,2018,7,16,23:15:00,23,"Urquiza, Gral. y Estados Unidos",CALLE,"URQUIZA, GRAL.",ESTADOS UNIDOS,"URQUIZA, GRAL. y ESTADOS UNIDOS",3,AUTO-CARGAS,AUTO,CARGAS
352,2018-0078,1,2018-07-21,2018,7,21,06:15:00,6,Paraguay y Sánchez De Bustamante,CALLE,PARAGUAY,SANCHEZ DE BUSTAMANTE,PARAGUAY y SANCHEZ DE BUSTAMANTE,2,PEATON-AUTO,PEATON,AUTO
353,2018-0079,1,2018-07-23,2018,7,23,07:15:00,7,"De Los Corrales Av. y Paz, Gral. Av.",GRAL PAZ,DE LOS CORRALES AV.,"PAZ, GRAL. AV.","DE LOS CORRALES AV. y PAZ, GRAL. AV.",9,PEATON-CARGAS,PEATON,CARGAS
354,2018-0080,1,2018-07-25,2018,7,25,22:22:00,22,"Alberdi, Juan Bautista Av. y Carhue",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CARHUE,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,PEATON-AUTO,PEATON,AUTO
355,2018-0081,1,2018-07-29,2018,7,29,06:30:00,6,Castañares Av. y Rivera Indarte Av.,AVENIDA,CASTANARES AV.,RIVERA INDARTE AV.,CASTAÃ‘ARES AV. y RIVERA INDARTE AV.,7,MULTIPLE,PEATON,MULTIPLE
356,2018-0082,1,2018-08-01,2018,8,1,15:53:00,15,"Larrazabal y Garzon, Eugenio, Gral. Av.",AVENIDA,LARRAZABAL,"GARZON, EUGENIO, GRAL. AV.","LARRAZABAL y GARZON, EUGENIO, GRAL. AV.",9,MOTO-CARGAS,MOTO,CARGAS
357,2018-0083,1,2018-08-02,2018,8,2,05:20:00,5,"Paz, Gral. Av. y Fernandez De La Cruz, F., Gral. Av.",GRAL PAZ,"PAZ, GRAL. AV.","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PAZ, GRAL. AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,MOTO-CARGAS,MOTO,CARGAS
358,2018-0084,1,2018-08-03,2018,8,3,07:25:00,7,Av. Alicia Moreau de Justo y Cochabamba,AVENIDA,"MOREAU DE JUSTO, ALICIA AV.",COCHABAMBA,"MOREAU DE JUSTO, ALICIA AV. y COCHABAMBA",1,PEATON-CARGAS,PEATON,CARGAS
359,2018-0085,2,2018-08-03,2018,8,3,18:16:00,18,"Entre Rios Av. y Garay, Juan De Av.",AVENIDA,ENTRE RIOS AV.,"GARAY, JUAN DE AV.","ENTRE RIOS AV. y GARAY, JUAN DE AV.",3,MOTO-PASAJEROS,MOTO,PASAJEROS
360,2018-0086,1,2018-08-10,2018,8,10,21:44:00,21,Directorio Av. y Guardia Nacional,AVENIDA,DIRECTORIO AV.,GUARDIA NACIONAL,DIRECTORIO AV. y GUARDIA NACIONAL,9,PEATON-PASAJEROS,PEATON,PASAJEROS
361,2018-0087,1,2018-08-15,2018,8,15,19:20:00,19,Pavon Av. Y Colombres,AVENIDA,PAVON AV.,COLOMBRES,PAVON AV. y COLOMBRES,5,PEATON-PASAJEROS,PEATON,PASAJEROS
362,2018-0088,1,2018-08-17,2018,8,17,16:36:00,16,Av. Gral. Paz y Av. Dr. Ricardo Balbín,GRAL PAZ,"PAZ, GRAL. AV.","BALBIN, RICARDO, DR. AV.","PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,MOTO-CARGAS,MOTO,CARGAS
363,2018-0089,1,2018-08-17,2018,8,17,17:56:00,17,Pichincha Av. y Brasil,AVENIDA,PICHINCHA AV.,BRASIL,PICHINCHA AV. y BRASIL,4,PEATON-PASAJEROS,PEATON,PASAJEROS
364,2018-0090,1,2018-08-18,2018,8,18,10:34:00,10,27 De Febrero Av. y Pergamino,AVENIDA,27 DE FEBRERO AV.,PERGAMINO,27 DE FEBRERO AV. y PERGAMINO,8,MOTO-AUTO,MOTO,AUTO
365,2018-0091,1,2018-08-19,2018,8,19,18:47:00,18,AU Perito Moreno KM 1.8 ALTURA BARRAGAN SENTIDO PBA,AUTOPISTA,AUTOPISTA PERITO MORENO,BARRAGAN,AUTOPISTA PERITO MORENO y BARRAGAN,9,AUTO-AUTO,AUTO,AUTO
366,2018-0092,1,2018-08-20,2018,8,20,08:20:00,8,Cordoba Av. y Gascon,AVENIDA,CORDOBA AV.,GASCON,CORDOBA AV. y GASCON,14,MOTO-AUTO,MOTO,AUTO
367,2018-0093,1,2018-08-20,2018,8,20,08:41:00,8,15 De Noviembre De 1889 1513,CALLE,15 DE NOVIEMBRE DE 1889,Sin Cruce,15 DE NOVIEMBRE DE 1889 1513,1,PEATON-PASAJEROS,PEATON,PASAJEROS
368,2018-0094,1,2018-08-23,2018,8,23,05:35:00,5,"Salguero, Jeronimo y Beruti",CALLE,"SALGUERO, JERONIMO",BERUTI,"SALGUERO, JERONIMO y BERUTI",14,MOTO-PASAJEROS,MOTO,PASAJEROS
369,2018-0095,1,2018-08-26,2018,8,26,00:59:00,0,"Lacarra Av. y Dellepiane, Luis, Tte. Gral.",AVENIDA,LACARRA AV.,"DELLEPIANE, LUIS, TTE. GRAL.","LACARRA AV. y DELLEPIANE, LUIS, TTE. GRAL.",9,AUTO-AUTO,AUTO,AUTO
370,2018-0096,1,2018-08-31,2018,8,31,22:20:00,22,"AU Héctor J. Cámpora y Roca, Cnel. Av.",AUTOPISTA,AUTOPISTA PRESIDENTE H?CTOR J. C?MPORA,"ROCA, CNEL. AV.","AUTOPISTA PRESIDENTE HÃ‰CTOR J. CÃMPORA y ROCA, CNEL. AV.",8,PEATON-AUTO,PEATON,AUTO
371,2018-0097,1,2018-09-02,2018,9,2,10:50:00,10,Av. Varela y Av. Int. Francisco Rabanal,AVENIDA,VARELA AV.,"RABANAL, FRANCISCO, INTENDENTE AV.","VARELA AV. y RABANAL, FRANCISCO, INTENDENTE AV.",8,AUTO-MOVIL,AUTO,OTRO
372,2018-0098,2,2018-09-09,2018,9,9,05:00:00,5,Av. Gral. Paz e/ Ferre y Beron de Astrada,GRAL PAZ,"PAZ, GRAL. AV.",BERON DE ASTRADA,"PAZ, GRAL. AV. y BERON DE ASTRADA",8,AUTO-AUTO,AUTO,AUTO
373,2018-0099,1,2018-09-12,2018,9,12,14:25:00,14,Rivadavia Av. y Pedernera,AVENIDA,RIVADAVIA AV.,PEDERNERA,RIVADAVIA AV. y PEDERNERA,7,PEATON-PASAJEROS,PEATON,PASAJEROS
374,2018-0100,1,2018-09-20,2018,9,20,10:30:00,10,Elvira Rawson de Dellepiane 150,AVENIDA,"RAWSON DE DELLEPIANE, ELVIRA AV.",Sin Cruce,"RAWSON DE DELLEPIANE, ELVIRA AV. 150",1,MOTO-AUTO,MOTO,AUTO
375,2018-0101,1,2018-09-21,2018,9,21,00:15:00,0,"Paz, Gral. Av. y Zapiola",GRAL PAZ,"PAZ, GRAL. AV.",ZAPIOLA,"PAZ, GRAL. AV. y ZAPIOLA",12,MULTIPLE,AUTO,MULTIPLE
376,2018-0102,1,2018-09-21,2018,9,21,00:30:00,0,FAMATINA Y DIOGENES TABORDA,CALLE,FAMATINA,"TABORDA, DIOGENES","FAMATINA y TABORDA, DIOGENES",4,MOTO-AUTO,MOTO,AUTO
377,2018-0103,1,2018-09-27,2018,9,27,17:51:00,17,Av. Castañares y Bonorino,AVENIDA,CASTA?ARES AV.,"BONORINO, ESTEBAN, CNEL. AV.","CASTAÃ‘ARES AV. y BONORINO, ESTEBAN, CNEL. AV.",7,PEATON-MOTO,PEATON,MOTO
378,2018-0104,1,2018-10-01,2018,10,1,08:58:00,8,AU Frondizi 9 de Julio Sur y Av. Suarez,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,SUAREZ AV.,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y SUAREZ AV.,4,MOTO-MOTO,MOTO,MOTO
379,2018-0105,1,2018-10-03,2018,10,3,18:12:00,18,Nazca Av. y Rivadavia Av.,AVENIDA,NAZCA AV.,RIVADAVIA AV.,NAZCA AV. y RIVADAVIA AV.,7,PEATON-PASAJEROS,PEATON,PASAJEROS
